favorite,underdog,spread,favorite_win_prob,underdog_win_prob,favorite_ev,is_3pt_underdog,underdog_ev,pick,actual_winner
KC,LV,13.5,0.87498455557878,0.12501544442122003,0.87498455557878,True,0.3750463332636601,KC,KC
PHI,MIN,2.5,0.5895042395778667,0.4104957604221333,0.5895042395778667,False,0.8209915208442666,MIN,PHI
NYJ,CAR,1.5,0.6084891388001795,0.3915108611998205,0.6084891388001795,False,0.783021722399641,CAR,CAR
NE,TEN,6.5,0.7466000764130822,0.25339992358691776,0.7466000764130822,False,0.5067998471738355,NE,NE
DEN,NYG,7.5,0.7308998215845703,0.26910017841542966,0.7308998215845703,True,0.807300535246289,NYG,DEN
LAC,IND,2.5,0.5225853498509313,0.4774146501490687,0.5225853498509313,False,0.9548293002981374,IND,IND
GB,ARI,7.0,0.7600322772179552,0.2399677227820448,0.7600322772179552,True,0.7199031683461344,GB,GB
DAL,WAS,1.5,0.4502760300340647,0.5497239699659353,0.4502760300340647,False,1.0994479399318706,WAS,DAL
SF,ATL,1.5,0.6081194373015504,0.3918805626984496,0.6081194373015504,False,0.7837611253968992,ATL,SF
DET,TB,6.0,0.7191981790064319,0.2808018209935681,0.7191981790064319,False,0.5616036419871362,DET,DET
SEA,HOU,3.0,0.6155142593423356,0.3844857406576644,0.6155142593423356,False,0.7689714813153288,HOU,SEA
LAC,MIN,3.0,0.5803930534001613,0.41960694659983866,0.5803930534001613,False,0.8392138931996773,MIN,LAC
ATL,MIA,7.0,0.7200194235283831,0.2799805764716169,0.7200194235283831,True,0.8399417294148507,MIA,MIA
BAL,CHI,2.5,0.5350119373408335,0.4649880626591665,0.5350119373408335,False,0.929976125318333,CHI,BAL
BUF,CAR,7.0,0.7620980831125806,0.23790191688741935,0.7620980831125806,True,0.713705750662258,BUF,BUF
CIN,NYJ,5.5,0.6910949176474702,0.3089050823525298,0.6910949176474702,False,0.6178101647050596,CIN,NYJ
HOU,SF,2.5,0.5613683879981631,0.43863161200183687,0.5613683879981631,False,0.8772632240036737,SF,HOU
NE,CLE,7.0,0.7435974123916257,0.2564025876083743,0.7435974123916257,True,0.7692077628251229,CLE,NE
PHI,NYG,7.0,0.6986654657910533,0.30133453420894674,0.6986654657910533,True,0.9040036026268402,NYG,PHI
TB,NO,4.5,0.6302453783653816,0.36975462163461836,0.6302453783653816,False,0.7395092432692367,NO,TB
DEN,DAL,3.5,0.6046891048173757,0.3953108951826243,0.6046891048173757,False,0.7906217903652486,DAL,DEN
IND,TEN,15.5,0.925096731304174,0.07490326869582598,0.925096731304174,True,0.22470980608747793,IND,IND
GB,PIT,3.0,0.6145379634392594,0.38546203656074063,0.6145379634392594,False,0.7709240731214813,PIT,GB
KC,WAS,10.5,0.8327520853987068,0.16724791460129318,0.8327520853987068,True,0.5017437438038795,KC,KC
BAL,MIA,7.5,0.7116364830709307,0.28836351692906925,0.7116364830709307,True,0.8650905507872078,MIA,BAL
CHI,CIN,3.0,0.6009850305252054,0.39901496947479465,0.6009850305252054,False,0.7980299389495893,CIN,CHI
DET,MIN,9.5,0.7796058802583108,0.2203941197416892,0.7796058802583108,True,0.6611823592250676,DET,MIN
GB,CAR,12.5,0.8677112851151179,0.13228871488488214,0.8677112851151179,True,0.3968661446546464,GB,CAR
HOU,DEN,1.5,0.5224173810913346,0.4775826189086654,0.5224173810913346,False,0.9551652378173308,DEN,DEN
NE,ATL,5.5,0.6992994030770644,0.3007005969229356,0.6992994030770644,False,0.6014011938458712,NE,NE
SF,NYG,2.5,0.5828922721368088,0.41710772786319117,0.5828922721368088,False,0.8342154557263823,NYG,SF
IND,PIT,3.5,0.6522883771865764,0.3477116228134236,0.6522883771865764,False,0.6954232456268472,PIT,PIT
LAC,TEN,10.0,0.8047952072083755,0.1952047927916245,0.8047952072083755,True,0.5856143783748735,LAC,LAC
LA,NO,14.0,0.8794349117465626,0.12056508825343737,0.8794349117465626,True,0.3616952647603121,LA,LA
JAX,LV,2.5,0.6579226697718933,0.3420773302281067,0.6579226697718933,False,0.6841546604562134,LV,JAX
KC,BUF,2.5,0.5308195302590666,0.4691804697409334,0.5308195302590666,False,0.9383609394818668,BUF,BUF
SEA,WAS,2.5,0.6042550455987397,0.39574495440126034,0.6042550455987397,False,0.7914899088025207,WAS,SEA
DAL,ARI,3.5,0.5378573255239572,0.46214267447604285,0.5378573255239572,False,0.9242853489520857,ARI,ARI
DEN,LV,9.5,0.8140118322643575,0.18598816773564253,0.8140118322643575,True,0.5579645032069276,DEN,DEN
IND,ATL,6.5,0.6611895843932137,0.33881041560678626,0.6611895843932137,False,0.6776208312135725,ATL,IND
CAR,NO,5.5,0.6531891611284855,0.34681083887151454,0.6531891611284855,False,0.6936216777430291,NO,NO
CHI,NYG,4.5,0.6326531436587155,0.3673468563412845,0.6326531436587155,False,0.734693712682569,NYG,CHI
